Cr,Ti,Zr,MaxFWHM
0.270945285,0.480078329,0.248976386,0.491267174
0.196267518,0.575673839,0.228058643,0.427990114
0.215384196,0.550947665,0.233668139,0.455407322
0.235852098,0.525511389,0.238636512,0.470065283
0.257642225,0.499465417,0.242892357,0.480589298
0.280699965,0.472923981,0.246376054,0.484799414
0.304937787,0.446021781,0.249040432,0.507070463
0.330237816,0.41890501,0.250857174,0.507151794
0.356448604,0.391739841,0.251811556,0.522664388
0.383391775,0.364698924,0.251909302,0.526330709
0.169341594,0.618830429,0.211827977,0.376383443
0.186306301,0.59518868,0.218505019,0.424635492
0.204590074,0.57070462,0.224705306,0.446223169
0.224200772,0.545454189,0.230345039,0.469107606
0.245126735,0.519528999,0.235344267,0.479090317
0.267327853,0.493039857,0.23963229,0.485161144
0.290738182,0.466115318,0.2431465,0.499195532
0.31526064,0.438900327,0.245839033,0.502915037
0.340769191,0.411553268,0.247677541,0.513127755
0.367109466,0.38424659,0.248643945,0.525947777
0.394100073,0.357157616,0.248742312,0.536130323
0.421538108,0.330471801,0.247990092,0.54684807
0.449204508,0.304371445,0.246424046,0.561790558
0.160574343,0.638224427,0.20120123,0.365453018
0.17679494,0.614955627,0.208249432,0.412679937
0.194302771,0.590793441,0.214903788,0.446818635
0.213115539,0.565806109,0.221078351,0.46434006
0.233231934,0.540078763,0.226689302,0.469469311
0.254628489,0.513713797,0.231657714,0.484593821
0.277253714,0.486835384,0.235910901,0.49627776
0.30103329,0.45958013,0.239386581,0.503027086
0.32585938,0.432103179,0.242037441,0.519911103
0.35159917,0.404572989,0.243827842,0.523025318
0.378094919,0.377164681,0.2447404,0.529345962
0.405162828,0.350062824,0.244774348,0.543219622
0.432602858,0.323449369,0.243947773,0.557290387
0.460203445,0.297503263,0.242293292,0.567160838
0.487746088,0.272394283,0.239859629,0.577304176
0.152127989,0.657628195,0.190243816,0.359220489
0.167649614,0.634803249,0.197547137,0.409179929
0.184427599,0.611037903,0.204534497,0.441715463
0.202486777,0.58639157,0.211121653,0.455675379
0.221837141,0.560939598,0.21722326,0.471149126
0.242467459,0.534777659,0.222754882,0.477984754
0.264341054,0.508019921,0.227639025,0.499512374
0.28740122,0.480795764,0.231803016,0.503197728
0.311558835,0.453255398,0.235185767,0.507529754
0.336700591,0.425561806,0.237737603,0.521151213
0.362687797,0.397886496,0.239425706,0.526643047
0.389355574,0.37041302,0.240231407,0.537664256
0.416520466,0.343326119,0.240153416,0.553137603
0.443984083,0.316806243,0.239209675,0.559496516
0.471540609,0.29102782,0.23743157,0.57274615
0.498979128,0.266153645,0.234867227,0.584021517
0.526094202,0.242327795,0.231578003,0.593313116
0.143953228,0.67690113,0.179145643,0.354773099
0.158812673,0.654581321,0.186606006,0.409629597
0.174895772,0.631281763,0.193822465,0.434779986
0.192236727,0.607049762,0.200713511,0.446759702
0.210854559,0.581951023,0.207194419,0.475503199
0.230747037,0.556071495,0.213181467,0.492230596
