Formula,Cr,Ti,Zr,MaxFWHM,composition,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Yang omega,Yang delta
Cr0.270945285Ti0.480078329Zr0.248976386,0.270945285,0.480078329,0.248976386,0.491267174,Cr0.27094528 Ti0.48007833 Zr0.24897639,-0.169052114,-0.075672611,-0.044803252,2.609666327,0.070833901
Cr0.196267518Ti0.575673839Zr0.228058643,0.196267518,0.575673839,0.228058643,0.427990114,Cr0.19626752 Ti0.57567384 Zr0.22805864,-0.129143036,-0.043179019,-0.037771522,3.097234901,0.064329509
Cr0.215384196Ti0.550947665Zr0.233668139,0.215384196,0.550947665,0.233668139,0.455407322,Cr0.2153842 Ti0.55094767 Zr0.23366814,-0.140093601,-0.05218282,-0.040332242,2.946642001,0.066086656
Cr0.235852098Ti0.525511389Zr0.238636512,0.235852098,0.525511389,0.238636512,0.470065283,Cr0.2358521 Ti0.52551139 Zr0.23863651,-0.151220197,-0.061256432,-0.042507396,2.807691413,0.067833405
Cr0.257642225Ti0.499465417Zr0.242892357,0.257642225,0.499465417,0.242892357,0.480589298,Cr0.25764223 Ti0.49946542 Zr0.24289236,-0.162266782,-0.07020136,-0.044182188,2.679904733,0.069556213
Cr0.280699965Ti0.472923981Zr0.246376054,0.280699965,0.472923981,0.246376054,0.484799414,Cr0.28069996 Ti0.47292398 Zr0.24637605,-0.172918754,-0.07878051,-0.045246497,2.56275787,0.071240175
Cr0.304937787Ti0.446021781Zr0.249040432,0.304937787,0.446021781,0.249040432,0.507070463,Cr0.30493779 Ti0.44602178 Zr0.24904043,-0.182813513,-0.086725703,-0.045602141,2.455713267,0.072868867
Cr0.330237816Ti0.41890501Zr0.250857174,0.330237816,0.41890501,0.250857174,0.507151794,Cr0.33023782 Ti0.41890501 Zr0.25085717,-0.191568152,-0.093756957,-0.045170989,2.358200146,0.07442535
Cr0.356448604Ti0.391739841Zr0.251811556,0.356448604,0.391739841,0.251811556,0.522664388,Cr0.3564486 Ti0.39173984 Zr0.25181156,-0.198813459,-0.099605027,-0.047136913,2.269635726,0.075892041
Cr0.383391775Ti0.364698924Zr0.251909302,0.383391775,0.364698924,0.251909302,0.526330709,Cr0.38339177 Ti0.36469892 Zr0.2519093,-0.204238475,-0.104041581,-0.04878447,2.189409622,0.077252116
Cr0.169341594Ti0.618830429Zr0.211827977,0.169341594,0.618830429,0.211827977,0.376383443,Cr0.16934159 Ti0.61883043 Zr0.21182798,-0.112547292,-0.029342056,-0.033306193,3.343547153,0.061119542
Cr0.186306301Ti0.59518868Zr0.218505019,0.186306301,0.59518868,0.218505019,0.424635492,Cr0.1863063 Ti0.59518868 Zr0.21850502,-0.122771879,-0.037876829,-0.036230453,3.177826388,0.062891176
Cr0.204590074Ti0.57070462Zr0.224705306,0.204590074,0.57070462,0.224705306,0.446223169,Cr0.20459007 Ti0.57070462 Zr0.22470531,-0.133436126,-0.046698199,-0.038949594,3.02394061,0.064668374
Cr0.224200772Ti0.545454189Zr0.230345039,0.224200772,0.545454189,0.230345039,0.469107606,Cr0.22420077 Ti0.54545419 Zr0.23034504,-0.144386982,-0.055678687,-0.041356983,2.881470435,0.06644062
Cr0.245126735Ti0.519528999Zr0.235344267,0.245126735,0.519528999,0.235344267,0.479090317,Cr0.24512674 Ti0.519529 Zr0.23534427,-0.155414123,-0.064651377,-0.043340683,2.749955613,0.068195765
Cr0.267327853Ti0.493039857Zr0.23963229,0.267327853,0.493039857,0.23963229,0.485161144,Cr0.26732785 Ti0.49303986 Zr0.23963229,-0.166244929,-0.073407243,-0.044788474,2.628936538,0.069919915
Cr0.290738182Ti0.466115318Zr0.2431465,0.290738182,0.466115318,0.2431465,0.499195532,Cr0.29073818 Ti0.46611532 Zr0.2431465,-0.176552646,-0.081701909,-0.045595367,2.517916945,0.071597689
Cr0.31526064Ti0.438900327Zr0.245839033,0.31526064,0.438900327,0.245839033,0.502915037,Cr0.31526064 Ti0.43890033 Zr0.24583903,-0.185972069,-0.089266636,-0.045670999,2.416387485,0.073212625
Cr0.340769191Ti0.411553268Zr0.247677541,0.340769191,0.411553268,0.247677541,0.513127755,Cr0.34076919 Ti0.41155327 Zr0.24767754,-0.194129134,-0.095828524,-0.045987919,2.323813422,0.074747708
Cr0.367109466Ti0.38424659Zr0.248643945,0.367109466,0.38424659,0.248643945,0.525947777,Cr0.36710947 Ti0.38424659 Zr0.24864395,-0.200677866,-0.101135117,-0.048112431,2.239643666,0.076185696
Cr0.394100073Ti0.357157616Zr0.248742312,0.394100073,0.357157616,0.248742312,0.536130323,Cr0.39410007 Ti0.35715762 Zr0.24874231,-0.205342222,-0.104982563,-0.049486585,2.163313677,0.077510262
Cr0.421538108Ti0.330471801Zr0.247990092,0.421538108,0.330471801,0.247990092,0.54684807,Cr0.42153811 Ti0.3304718 Zr0.24799009,-0.207951049,-0.107239435,-0.050115804,2.094252142,0.078706072
Cr0.449204508Ti0.304371445Zr0.246424046,0.449204508,0.304371445,0.246424046,0.561790558,Cr0.44920451 Ti0.30437145 Zr0.24642405,-0.208461639,-0.107863847,-0.050040205,2.031881843,0.079759994
Cr0.160574343Ti0.638224427Zr0.20120123,0.160574343,0.638224427,0.20120123,0.365453018,Cr0.16057434 Ti0.63822443 Zr0.20120123,-0.106712978,-0.024400261,-0.031626123,3.425399316,0.059610093
