,Formula,Co,Ti,Zr,Cr,MaxFWHM,Group,composition,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant d electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,Ti fraction,Cr fraction,Co fraction,Zr fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg d valence electrons,frac s valence electrons,frac d valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,band center,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy
0,Co0.048417927Ti0.216790384Zr0.734791688Cr0.0,0.048417927,0.216790384,0.734791688,0.0,0.433847615958,3,Co0.04841793 Ti0.21679038 Zr0.73479169,-0.11712025344158372,-0.039484131656673783,-0.05958946974151525,Co0.03555172815528429 Ti0.12929173480660347 Zr0.8351565370381122 ,Co0.04841792704841792Ti0.2167903842167904Zr0.7347916887347917,0.05941187760277412,1.729498053773849,-0.0028454867054812914,3.9012175400258196,1.14700055963287,-0.0058570284460991405,80.26116547068793,80.26116539042678,-1.6593224075325035,0.10156298795149395,0.12810122282075018,4.24208963524209,7.010255415349362,5.856436117786436,11.0,0.0,11.0,37.314419953534426,0.24317588503154106,2.7217491389804613,-0.019081438619402785,0.2167903842167904,0.0,0.04841792704841792,0.7347916887347917,80.26116547068794,4.24208963524209,4.734791688734791,18.0,35.46834003246834,0.19999999999999996,1.5077978569577979,0.5499999999999998,1.402155840562156,2.0,2.2420896352420896,0.47146575673096613,0.5285342432690338,-0.0028454867054812914,0.017355776231138507,0.024840698466006988,0.07379138517489414,0.09544426513342771,3.5460402612522257,s,Zr,-0.162391,s,Zr,-0.162391
1,Co0.054622958Ti0.267907941Zr0.6774691Cr0.0,0.054622958,0.267907941,0.6774691,0.0,0.405629910803,3,Co0.05462296 Ti0.26790794 Zr0.6774691,-0.13196723218633916,-0.05447693751423759,-0.07055071105077457,Co0.04135302557851674 Ti0.16473803629790282 Zr0.7939089381235805 ,Co0.05462295805462296Ti0.2679079412679079Zr0.6774691006774691,0.06279316065224859,1.7216143178617618,0.006225583511010108,4.373943431511445,1.1473876693738805,-0.006447263445427184,77.84449610338231,77.84449602553781,-1.6351241370529275,0.10576344803424091,0.14360772906703717,4.273114790273115,7.707879582914059,5.77333018024333,11.0,0.0,11.0,37.84257996114258,0.25232877644994084,3.051009427220714,-0.02078990278787434,0.2679079412679079,0.0,0.05462295805462296,0.6774691006774691,77.8444961033823,4.273114790273114,4.677469100677469,18.0,34.467558602467555,0.19999999999999996,1.4988892171988895,0.5499999999999998,1.4163032945963032,2.0,2.2731147902731146,0.46804265697532804,0.531957343024672,0.006225583511010108,0.015666063514164257,0.016226036494636994,0.0636307702947143,0.0795041071450134,3.5462488450230953,s,Zr,-0.162391,s,Zr,-0.162391
2,Co0.054635687Ti0.253980791Zr0.691383522Cr0.0,0.054635687,0.253980791,0.691383522,0.0,0.419889897046,3,Co0.05463569 Ti0.25398079 Zr0.69138352,-0.13194611926068242,-0.054242529593934295,-0.07023106323910046,Co0.04104449690970208 Ti0.15497285104338593 Zr0.8039826520469121 ,Co0.054635687Ti0.253980791Zr0.691383522,0.062393145374970524,1.6849872880120438,0.0041867668532211315,4.2920182481126545,1.1473032600975468,-0.006335865652905736,78.44792452965495,78.44792452965495,-1.6275419822863435,0.10593719014702561,0.14182613894525578,4.273178435,7.74912952773364,5.79280451478,11.0,0.0,11.0,37.77069695956,0.2530491342186676,3.0247415194556435,-0.02086233832058905,0.253980791,0.0,0.054635687,0.691383522,78.44792452965495,4.273178435,4.691383522,18.0,34.718081831,0.19999999999999996,1.50097574395,0.5499999999999998,1.41338559396,2.0,2.273178435,0.4680356859471982,0.5319643140528018,0.0041867668532211315,0.015859772634307157,0.03027538357707138,0.06609041995578337,0.08387166999367526,3.5473424847485178,s,Zr,-0.162391,s,Zr,-0.162391
3,Co0.05460614Ti0.240558639Zr0.70483522Cr0.0,0.05460614,0.240558639,0.70483522,0.0,0.443055807246,3,Co0.05460614 Ti0.24055864 Zr0.70483522,-0.13182981447078135,-0.053908501632712325,-0.06984102770609606,Co0.04071973672616151 Ti0.14570037319738796 Zr0.8135798900764505 ,Co0.05460614005460614Ti0.24055863924055865Zr0.7048352207048353,0.06196379126067253,1.648765053512488,0.0022097126522013628,4.206293779630853,1.1472215033997168,-0.006219407105306299,79.03082285814114,79.0308227791103,-1.6198433636448508,0.10605887011593432,0.1399264887054062,4.273030700273031,7.783315866985431,5.8116504845616515,11.0,0.0,11.0,37.69965252555966,0.2536579045655629,2.99605056537649,-0.02091889503720616,0.24055863924055865,0.0,0.05460614005460614,0.7048352207048353,79.03082285814112,4.27303070027303,4.704835220704836,18.0,34.960064672960065,0.19999999999999996,1.502994976102995,0.5499999999999998,1.4105506912705508,2.0,2.273030700273031,0.468051867699478,0.5319481323005223,0.0022097126522013628,0.016125659129120857,0.047790416566580354,0.06508055198248867,0.08910035101171838,3.5483685326387273,s,Zr,-0.162391,s,Zr,-0.162391
4,Co0.0545349Ti0.227646624Zr0.717818476Cr0.0,0.0545349,0.227646624,0.717818476,0.0,0.444933332944,3,Co0.0545349 Ti0.22764662 Zr0.71781848,-0.13161912232922354,-0.05347633997992549,-0.0693820166439949,Co0.04037940440867037 Ti0.13690610813189946 Zr0.8227144874594302 ,Co0.0545349Ti0.227646624Zr0.717818476,0.06150797381815624,1.613026516899687,0.0002954809025320516,4.117416143802429,1.1471424268282384,-0.006098567829305047,79.5929495016375,79.5929495016375,-1.6119999233571691,0.10612972333635044,0.13792338711615001,4.2726745,7.810414862337124,5.8298598124000005,11.0,0.0,11.0,37.6294980168,0.2541558768268545,2.965162700675984,-0.02095961275912092,0.227646624,0.0,0.0545349,0.717818476,79.5929495016375,4.2726745,4.717818476,18.0,35.193407068,0.19999999999999996,1.5049460263999999,0.5499999999999998,1.4077999860400001,2.0,2.2726745,0.4680908878034121,0.5319091121965879,0.0002954809025320516,0.016456142276027,0.03394446021261035,0.0657808862899542,0.09013571076905605,3.5493269231868845,s,Zr,-0.162391,s,Zr,-0.162391
5,Co0.054422905Ti0.215246711Zr0.730330384Cr0.0,0.054422905,0.215246711,0.730330384,0.0,0.457524700957,3,Co0.05442291 Ti0.21524671 Zr0.73033038,-0.13131527493609968,-0.05294808855783446,-0.0688561071904749,Co0.040024310663474685 Ti0.12857451297562944 Zr0.8314011763608958 ,Co0.054422905Ti0.215246711Zr0.730330384,0.06102850544092303,1.577835927520942,-0.001555247562303002,4.026004518295737,1.1470660433620983,-0.005974011342290793,80.13418893828448,80.13418893828448,-1.603986002394863,0.10615123553097187,0.13583113810701358,4.272114525,7.8304663276387965,5.847428001300001,11.0,0.0,11.0,37.56028332060001,0.25454454392836784,2.932304977286611,-0.020984650550168633,0.215246711,0.0,0.054422905,0.730330384,80.13418893828448,4.272114525,4.730330384,18.0,35.418061437000006,0.19999999999999996,1.50682841235,0.5499999999999998,1.40513440706,2.0,2.272114525,0.4681522436480094,0.5318477563519906,-0.001555247562303002,0.01684382841282923,0.019783568959268277,0.06835334786867284,0.09215581524725566,3.550218082405214,s,Zr,-0.162391,s,Zr,-0.162391
6,Co0.054270135Ti0.2033555Zr0.742374365Cr0.0,0.054270135,0.2033555,0.742374365,0.0,0.460601638494,3,Co0.05427013 Ti0.2033555 Zr0.74237436,-0.130916828290416,-0.052323352994295115,-0.06826394545796144,Co0.039654389332758826 Ti0.12068756088747797 Zr0.8396580497797632 ,Co0.054270135Ti0.2033555Zr0.742374365,0.060527663198820296,1.5432635135443766,-0.0033428275504197753,3.9325977616539385,1.1469923219245135,-0.0058463249045900886,80.65468923989133,80.65468923989133,-1.5957877706413806,0.10612417988067516,0.13366148719800258,4.271350675,7.843402758545801,5.8643598488999995,11.0,0.0,11.0,37.491989907800004,0.25482383836720557,2.897651095930196,-0.020993889988863312,0.2033555,0.0,0.054270135,0.742374365,80.65468923989133,4.271350675,4.742374365,18.0,35.634089245,0.19999999999999996,1.508642648,0.5499999999999998,1.40255322925,2.0,2.271350675,0.4682359637914768,0.5317640362085232,-0.0033428275504197753,0.01728180306382912,0.015705847038939316,0.07372393549037416,0.0915672902085841,3.5510422111902784,s,Zr,-0.162391,s,Zr,-0.162391
7,Co0.05407597Ti0.191967767Zr0.753956263Cr0.0,0.05407597,0.191967767,0.753956263,0.0,0.472450885471,3,Co0.05407597 Ti0.19196777 Zr0.75395626,-0.13042053545011986,-0.05160019723434719,-0.06760549050134998,Co0.03926907259378213 Ti0.11322722468701214 Zr0.8475037027192058 ,Co0.05407597Ti0.191967767Zr0.753956263,0.06000735952091452,1.5093846755580824,-0.005068040960027351,3.8376793746947024,1.1469212134674136,-0.005716052276828712,81.15469692372514,81.15469692372514,-1.587402857751989,0.10604880557155683,0.13142446307820296,4.270379849999999,7.849084705962225,5.880663821999999,11.0,0.0,11.0,37.4245644,0.25499254689461964,2.861339566806161,-0.02098702460367441,0.191967767,0.0,0.05407597,0.753956263,81.15469692372514,4.270379849999999,4.753956263,18.0,35.841592584,0.19999999999999996,1.51038964095,0.5499999999999998,1.4000550145700001,2.0,2.27037985,0.4683424122095369,0.5316575877904632,-0.005068040960027351,0.01776361238052749,0.025462671453614697,0.07988862952978965,0.0946838051001887,3.5517992509679126,s,Zr,-0.162391,s,Zr,-0.162391
8,Co0.053838171Ti0.18107061Zr0.765091218Cr0.0,0.053838171,0.18107061,0.765091218,0.0,0.478797959054,3,Co0.05383817 Ti0.18107061 Zr0.76509122,-0.12981894769178576,-0.05077274291814448,-0.0668784072501108,Co0.038866436076409924 Ti0.10617166038111703 Zr0.854961903542473 ,Co0.05383817105383817Ti0.1810706101810706Zr0.7650912187650912,0.05946855673840887,1.4762779441789773,-0.006733218386151945,3.7415999123922856,1.1468526031608899,-0.0055835966659162585,81.63484367132318,81.63484358968834,-1.578844076496436,0.10592406000496023,0.12912583511561398,4.269190855269191,7.847175527037127,5.896362147586363,11.0,0.0,11.0,37.35784504509785,0.25504664439439667,2.8234197560886196,-0.02096326107396907,0.1810706101810706,0.0,0.05383817105383817,0.7650912187650912,81.63484367132318,4.269190855269191,4.765091218765091,18.0,36.040832793040835,0.19999999999999996,1.512071774262072,0.5499999999999998,1.397635822217636,2.0,2.2691908552691906,0.46847284832242325,0.5315271516775767,-0.006733218386151945,0.018283716268205963,0.039133813840488196,0.0793991374018379,0.09542565569413877,3.5524886508307745,s,Zr,-0.162391,s,Zr,-0.162391
9,Co0.05355494Ti0.17065003Zr0.77579503Cr0.0,0.05355494,0.17065003,0.77579503,0.0,0.484110611694,3,Co0.05355494 Ti0.17065003 Zr0.77579503,-0.1291053481953731,-0.049835948134889126,-0.06608137357396265,Co0.03844488917484792 Ti0.09949967636315597 Zr0.8620554344619962 ,Co0.05355494Ti0.17065003Zr0.77579503,0.05891206125395078,1.444000155705658,-0.008340751991622715,3.644669365663925,1.146786375875126,-0.0054493261559823486,82.0957945249633,82.0957945249633,-1.5701254950238441,0.1057490404372565,0.12677083642162995,4.2677747,7.837400667744104,5.9114777696,11.0,0.0,11.0,37.2916830192,0.2549826623216926,2.783939782953151,-0.02092192880007992,0.17065003,0.0,0.05355494,0.77579503,82.0957945249633,4.2677747,4.77579503,18.0,36.23208524,0.19999999999999996,1.5136915075000001,0.5499999999999998,1.3952917233000002,2.0,2.2677747000000004,0.46862829942733386,0.5313717005726661,-0.008340751991622715,0.01883711279431147,0.053257241751655554,0.08032972177408854,0.09440860033342524,3.5531102472489873,d,Zr,-0.150673,d,Zr,-0.150673
