Formula,gfa,composition,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010
Ag20Al25La55,0,Ag20 Al25 La55,Ag0.20601844180494716 Al0.06441535294776445 La0.7295662052472883 ,Ag0.2Al0.25La0.55,0.133276666,0.270003124,-0.014494518,11.205,1.183809219,-0.008291315,104.7170332,10471.70332,-0.46678318,0.149548548,0.278925,7.1,34.9,3.896,3,1,1,1,0,20.578,0.306333016,3.2204,-0.036233049,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.7170332,7.1,5.05,44,44,0.7,1.705,0.83,1.3935,1.8,0.25,2.55,0,0.391304348,0.054347826,0.554347826,0,-0.014494518,0.018530942,0.01767767,0.065704009,0.093633925
Ag15Al10Mg75,0,Ag15 Al10 Mg75,Ag0.4360409526924319 Al0.07271253743767317 Mg0.4912465098698948 ,Ag0.15Al0.1Mg0.75,0.048066685,1.10430091,-0.010315015,3.27,1.078233555,-0.006074109,37.10713386,3710.713386,-2.629022141,0.099885718,0.15975,4.45,5.34,1.914,2,1,1,0,0,19.9765,0.228264004,1.993275,-0.019745948,0,0,0,0,0,0,0,0,0,0,0,0.75,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.10713386,4.45,3.3,35,17.35,0.35,1.49,0.62,1.433,1.85,0.1,1.5,0,0.536231884,0.028985507,0.434782609,0,-0.010315015,0.018459495,0.030284646,0.06736067,0.081345435
Ag25Al10Mg65,0,Ag25 Al10 Mg65,Ag0.5931588498102727 Al0.05934775365524769 Mg0.3474933965344797 ,Ag0.25Al0.1Mg0.65,0.05243493,0.96202611,0.004399507,3.91,1.078534845,-0.007123776,45.46345386,4546.345386,-2.591008668,0.109544512,0.19875,5.35,7.42,2.058,2,1,1,0,0,21.1055,0.243247616,2.486075,-0.02326668,0,0,0,0,0,0,0,0,0,0,0,0.65,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.46345386,5.35,3.5,35,20.85,0.35,1.5,0.62,1.495,1.75,0.1,2.5,0,0.402298851,0.022988506,0.574712644,0,0.004399507,0.015722125,0.040824829,0.051691079,0.064034885
Ag25Al20Mg55,0,Ag25 Al20 Mg55,Ag0.5896872248341856 Al0.11800080927495189 Mg0.29231196589086256 ,Ag0.25Al0.2Mg0.55,0.057036884,1.158331988,-0.000600035,4.44,1.078896446,-0.008291315,45.73110772,4573.110772,-2.548659709,0.10917185,0.21375,6.45,7.18,2.246,2,1,1,0,0,22.0285,0.236361933,2.670675,-0.022298186,0,0,0,0,0,0,0,0,0,0,0,0.55,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.73110772,6.45,3.5,35,20.95,0.35,1.475,0.62,1.525,1.75,0.2,2.5,0,0.393258427,0.04494382,0.561797753,0,-0.000600035,0.015192025,0.023570226,0.059754854,0.086129799
Ag35Al10Mg55,0,Ag35 Al10 Mg55,Ag0.7014869683066335 Al0.05013313261067648 Mg0.24837989908269004 ,Ag0.35Al0.1Mg0.55,0.054646994,0.914814715,-0.008365096,4.23,1.078839072,-0.007702976,53.81977386,5381.977386,-2.579443244,0.112808821,0.21975,6.25,8.7,2.202,2,1,1,0,0,22.2345,0.243742809,2.753075,-0.024624072,0,0,0,0,0,0,0,0,0,0,0,0.55,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.81977386,6.25,3.7,35,24.35,0.35,1.51,0.62,1.557,1.65,0.1,3.5,0,0.314285714,0.019047619,0.666666667,0,-0.008365096,0.01516713,0.040824829,0.055182247,0.078152292
Ag35Al20Mg45,0,Ag35 Al20 Mg45,Ag0.6980156312007364 Al0.09977009348522962 Mg0.2022142753140341 ,Ag0.35Al0.2Mg0.45,0.056903812,1.107774754,0.006424732,4.44,1.079204221,-0.008718508,54.08742772,5408.742772,-2.692523027,0.108301104,0.21975,7.35,8.14,2.39,2,1,1,0,0,23.1575,0.228663791,2.753075,-0.022206724,0,0,0,0,0,0,0,0,0,0,0,0.45,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.08742772,7.35,3.7,35,24.45,0.35,1.485,0.62,1.587,1.65,0.2,3.5,0,0.308411215,0.037383178,0.654205607,0,0.006424732,0.020942458,0.108012345,0.130285019,0.153692359
Ag45Al20Mg35,0,Ag45 Al20 Mg35,Ag0.777350683973329 Al0.08641870350570943 Mg0.1362306125209616 ,Ag0.45Al0.2Mg0.35,0.054688722,1.119185893,-0.002093361,4.12,1.079515034,-0.008718508,62.44374772,6244.374772,-2.915054026,0.102638124,0.20775,8.25,8.3,2.534,2,1,1,0,0,24.2865,0.21164591,2.609675,-0.020536665,0,0,0,0,0,0,0,0,0,0,0,0.35,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.44374772,8.25,3.9,35,27.95,0.35,1.495,0.62,1.649,1.55,0.2,4.5,0,0.248,0.032,0.72,0,-0.002093361,0.019365117,0.082684549,0.113584672,0.138308843
Ag10Ce6Cu84,0,Ag10 Ce6 Cu84,Ag0.1486352528963482 Ce0.11584235443712641 Cu0.7355223926665253 ,Ag0.1Ce0.06Cu0.84,0.106175916,1.407032639,-0.01445317,4.5624,1.262441516,-0.004535453,72.57242,7257.242,-0.402317256,0.068878513,0.079428,10.52,4.2816,3.4858,4,2,0,1,1,41.4924,0.215432085,3.155664,-0.031953925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.57242,10.52,4.22,29,32.54,0.5,1.405,0.81,1.8562,1.06,0,9.46,0.06,0.100189036,0,0.894139887,0.005671078,-0.01445317,0.015742416,0.021675822,0.049577742,0.068508756
Ag10Ce10Cu80,0,Ag10 Ce10 Cu80,Ag0.14261636311760578 Ce0.1852523202814773 Cu0.6721313166009169 ,Ag0.1Ce0.1Cu0.8,0.127929199,0.961001218,-0.024300195,6.3,1.260798725,-0.005312911,75.63522,7563.522,-0.324633376,0.087837156,0.1213,10.2,7.28,3.519,4,2,0,1,1,40.166,0.264041344,4.138,-0.04655851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.63522,10.2,4.3,29,33.7,0.5,1.425,0.81,1.825,1.1,0,9.1,0.1,0.106796117,0,0.883495146,0.009708738,-0.024300195,0.03025322,0.070710678,0.070710678,0.076330443
Ag15Ce6Cu79,0,Ag15 Ce6 Cu79,Ag0.2163464103385907 Ce0.11240975053260174 Cu0.6712438391288076 ,Ag0.15Ce0.06Cu0.79,0.107098459,1.709104343,-0.021454755,5.1294,1.261778403,-0.005317579,74.78853,7478.853,-0.463604317,0.06880967,0.082578,10.52,4.1136,3.4588,4,2,0,1,1,40.6684,0.229098551,3.674784,-0.035127523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.78853,10.52,4.27,29,33.44,0.5,1.4175,0.81,1.8577,1.06,0,9.46,0.06,0.100189036,0,0.894139887,0.005671078,-0.021454755,0.021929426,0.056568542,0.072779331,0.079341215
