Co,Ti,Zr,Cr,Formula,composition,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010
0,0,0,1,Co0.0Ti0.0Zr0.0Cr1.0,Cr1,Cr1.0 ,Cr1.0,0,0,0.023994,0,1,0,51.9961,51.9961,0,0,0,6,1.00E-06,4.1,6,1,0,5,0,116.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.9961,6,4,0,24,0,1.4,0,1.66,1,0,5,0,0.166666667,0,0.833333333,0,0.023994,0.023994,1,1,1
0,0,0.05,0.95,Co0.0Ti0.0Zr0.05Cr0.9500000000000001,Zr0.05 Cr0.95,Zr0.08453320525721218 Cr0.9154667947427878 ,Zr0.05Cr0.9500000000000001,0.046441846,1.576185225,0.013609688,1.33,1.128981412,-0.001650456,53.957495,53.957495,-0.76521758,0.056979071,0.057,5.9,2.28,4.2075,8,1,0,7,0,112.572,0.159840234,3.9216,-0.018434208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.957495,5.9,4.05,16,24.8,0.15,1.4075,0.33,1.6435,1.05,0,4.85,0,0.177966102,0,0.822033898,0,0.013609688,0.013609688,0.030304576,0.113493609,0.294098371
0,0,0.1,0.9,Co0.0Ti0.0Zr0.1Cr0.9,Zr0.1 Cr0.9,Zr0.16313628543055847 Cr0.8368637145694415 ,Zr0.1Cr0.9,0.063253012,1.360629307,0.003228071,2.52,1.128488711,-0.00270274,55.91889,55.91889,-0.675525615,0.079470199,0.108,5.8,4.32,4.315,8,1,0,7,0,108.444,0.228394379,7.4304,-0.035165518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.91889,5.8,4.1,16,25.6,0.15,1.415,0.33,1.627,1.1,0,4.7,0,0.189655172,0,0.810344828,0,0.003228071,0.003228071,0.040406102,0.069720332,0.239550134
0,0,0.15,0.85,Co0.0Ti0.0Zr0.15000000000000002Cr0.8500000000000001,Zr0.15 Cr0.85,Zr0.2364121047434373 Cr0.7635878952565628 ,Zr0.15000000000000002Cr0.8500000000000001,0.074500744,1.247383492,-0.007150849,3.57,1.128000688,-0.003514403,57.880285,57.880285,-0.633184666,0.0958581,0.153,5.7,6.12,4.4225,8,1,0,7,0,104.316,0.282601102,10.5264,-0.050386484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.880285,5.7,4.15,16,26.4,0.15,1.4225,0.33,1.6105,1.15,0,4.55,0,0.201754386,0,0.798245614,0,-0.007150849,0.007150849,0.010101525,0.052884457,0.201164337
0,0,0.2,0.8,Co0.0Ti0.0Zr0.2Cr0.8,Zr0.2 Cr0.8,Zr0.30488448853708655 Cr0.6951155114629135 ,Zr0.2Cr0.8,0.08259587,1.175297674,-0.017527073,4.48,1.127517272,-0.004160346,59.84168,59.84168,-0.609835579,0.108843537,0.192,5.6,7.68,4.53,8,1,0,7,0,100.188,0.329620314,13.2096,-0.064250209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.84168,5.6,4.2,16,27.2,0.15,1.43,0.33,1.594,1.2,0,4.4,0,0.214285714,0,0.785714286,0,-0.017527073,0.017527073,0.033275613,0.098638425,0.200332447
0,0,0.25,0.75,Co0.0Ti0.0Zr0.25Cr0.75,Zr0.25 Cr0.75,Zr0.36901076524105 Cr0.6309892347589501 ,Zr0.25Cr0.75,0.088498946,1.125697363,-0.027900602,5.25,1.127038396,-0.004675254,61.803075,61.803075,-0.596937753,0.11945178,0.225,5.5,9,4.6375,8,1,0,7,0,96.06,0.372158325,15.48,-0.076873905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.803075,5.5,4.25,16,28,0.15,1.4375,0.33,1.5775,1.25,0,4.25,0,0.227272727,0,0.772727273,0,-0.027900602,0.027900602,0.103986291,0.169349103,0.214474583
0,0,0.3,0.7,Co0.0Ti0.0Zr0.30000000000000004Cr0.7000000000000001,Zr0.3 Cr0.7,Zr0.42919199359768856 Cr0.5708080064023114 ,Zr0.30000000000000004Cr0.7000000000000001,0.092711069,1.090515291,-0.020701641,5.88,1.126563994,-0.005078726,63.76447,63.76447,-0.590869523,0.128183936,0.252,5.4,10.08,4.745,8,1,0,7,0,91.932,0.41154054,17.3376,-0.088340615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.76447,5.4,4.3,16,28.8,0.15,1.445,0.33,1.561,1.3,0,4.1,0,0.240740741,0,0.759259259,0,-0.020701641,0.033997763,0.174696969,0.197128298,0.228616718
0,0,0.35,0.65,Co0.0Ti0.0Zr0.35000000000000003Cr0.65,Zr0.35 Cr0.65,Zr0.48578135867820077 Cr0.5142186413217993 ,Zr0.35000000000000003Cr0.65,0.095530392,1.065631071,0.023717079,6.37,1.126094,-0.005382871,65.725865,65.725865,-0.589835463,0.135310525,0.273,5.3,10.92,4.8525,8,1,0,7,0,87.804,0.448483101,18.7824,-0.098699037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.725865,5.3,4.35,16,29.6,0.15,1.4525,0.33,1.5445,1.35,0,3.95,0,0.254716981,0,0.745283019,0,0.023717079,0.023717079,0.123743687,0.17563018,0.229963588
0,0,0.4,0.6,Co0.0Ti0.0Zr0.4Cr0.6000000000000001,Zr0.4 Cr0.6,Zr0.539091108134677 Cr0.4609088918653229 ,Zr0.4Cr0.6000000000000001,0.097146902,1.048752492,0.013050824,6.72,1.125628351,-0.005595419,67.68726,67.68726,-0.592890788,0.140977827,0.288,5.2,11.52,4.96,8,1,0,7,0,83.676,0.483364102,19.8144,-0.107961237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.68726,5.2,4.4,16,30.4,0.15,1.46,0.33,1.528,1.4,0,3.8,0,0.269230769,0,0.730769231,0,0.013050824,0.013050824,0.053033009,0.133111341,0.215821453
0,0,0.45,0.55,Co0.0Ti0.0Zr0.45Cr0.55,Zr0.45 Cr0.55,Zr0.5893983164499013 Cr0.41060168355009874 ,Zr0.45Cr0.55,0.097684601,1.038578278,0.002366931,6.93,1.125166983,-0.005721186,69.648655,69.648655,-0.599561669,0.14525364,0.297,5.1,11.88,5.0675,8,1,0,7,0,79.548,0.516330786,20.4336,-0.116097751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.648655,5.1,4.45,16,31.2,0.15,1.4675,0.33,1.5115,1.45,0,3.65,0,0.284313725,0,0.715686275,0,0.002366931,0.009129645,0.016317849,0.074185776,0.202016035
